Group Class code;Class code;January;February;March;April;May;June;July;August;September;October;November;December
102;1023;115,573;160,985;199,221;167,036;161,84;121,964;155,072;167,07;147,33;174,942;207,678;1,002,575
102;1023;511,666;345,208;305,654;256,639;124,093;114,595;186,679;199,428;173,161;303,669;270,4;1,240,539
102;1023;302,381;248,922;278,872;213,393;175,551;150,148;156,167;149,878;185,636;212,696;230,122;631,048
102;1024;13,54;7,708;12,298;7,57;4,845;3,936;2,837;2,725;3,82;9,8;20,468;18,685
103;1030;14,629,389;25,183,576;17,971,649;23,839,435;34,739,574;53,757,311;18,059,855;37,260,051;37,108,082;52,270,350;66,107,026;71,147,440
103;1030;16,167,989;10,506,048;9,504,532;10,068,206;8,150,981;8,565,692;8,398,874;7,336,134;8,391,030;8,396,506;12,385,826;52,189,868
103;1030;2,898,555;6,923,368;2,457,429;1,562,478;1,604,388;1,523,383;1,542,880;1,522,648;1,320,819;1,386,189;1,278,043;1,445,450
103;1031;454,665;374,884;350,164;313,505;245,884;275,666;269,113;306,057;278,536;322,24;380,507;574,984
103;1031;1,458,201;1,196,128;1,093,663;1,143,931;995,296;900,074;971,097;947,248;994,771;1,197,322;1,410,696;2,529,767
103;1031;604,629;548,636;513,302;428,773;415,437;328,466;292,981;322,124;323,181;390,279;438,864;682,589
103;1031;183,789;164,854;155,915;145,444;119,986;112,296;114,459;124,062;138,16;155,859;157,003;250,22
103;1031;97,393;97,835;79,486;87,399;100,679;87,922;94,688;91,074;83,422;83,23;77,682;100,525
103;1032;346,847;269,924;247,711;268,321;257,278;228,579;198,45;187,951;228,246;239,65;278,999;383
103;1032;259,751;168,027;181,706;134,082;134,353;83,611;99,201;103,741;95,042;115,927;140,259;184,883
103;1032;502,508;308,975;324,78;277,861;225,579;694,19;267,918;296,238;311,732;332,822;444,053;1,021,992
103;1032;290,435;197,924;228,38;176,98;155,404;141,526;148,636;132,646;125,45;163,614;244,706;337,144
104;1040;;;;;116;174;290;348;406;58;1,16;116
104;1040;;;;;1,856;5,278;4,582;4,582;4,35;4,988;5,51;6,496
104;1041;6,967;12,014;14,203;13,604;10,071;14,452;17,636;18,563;18,176;17,249;27,258;24,68
104;1041;6,238;18,799;13,392;13,946;8,271;16,234;17,402;16,692;17,705;17,331;25,315;24,717
104;1041;3,785;8,706;8,057;7,155;9,376;7,65;8,735;7,207;9,398;8,587;10,124;9,369
104;1042;32,023;39,297;36,052;31,74;33,19;28;32,287;24,615;21,474;27,785;253,232;25,496
105;1050;2,267,734;15,742;387;-527;13,519;7,432;6,314;4,147;4,797;2,622;3,802,024;48,156,691
110;1100;15,596,910;10,383,203;12,830,760;11,064,896;13,947,296;14,072,658;11,358,841;13,052,338;11,826,076;12,135,086;10,048,596;9,738,800
110;1101;571,929;500,232;547,877;510,12;552,493;527,426;525,604;507,498;450,902;454,458;474,262;496,45
110;1101;8,973,312;6,532,797;6,909,493;6,179,805;6,584,226;6,137,505;6,950,360;7,268,868;6,764,543;7,666,646;6,509,255;7,297,762
110;1101;4,378,673;3,383,187;3,923,994;3,821,737;4,051,530;3,595,145;3,824,162;4,104,684;3,766,246;3,920,893;3,462,315;3,669,967
110;1101;1,677,882;1,340,929;1,406,513;1,404,625;1,568,391;1,469,179;1,464,068;1,452,092;1,263,025;1,453,128;1,331,614;1,469,755
110;1101;769,734;718,058;838,535;817,548;849,797;752,693;747,529;767,955;711,913;734,895;696,193;759,699
110;1102;1,653,188;1,414,407;1,720,179;1,480,357;1,560,393;1,499,034;1,728,169;1,818,172;1,872,344;2,022,572;1,602,044;1,751,499
110;1102;3,126,414;2,564,219;2,650,699;2,622,241;2,865,207;2,695,682;3,111,943;3,047,670;2,953,802;3,345,197;2,908,191;3,192,041
110;1102;1,437,536;1,263,444;1,335,565;1,290,217;1,520,256;1,269,033;1,367,876;1,459,513;1,247,933;1,458,995;1,102,873;1,167,273
110;1103;5,672,960;4,705,150;4,432,361;4,007,180;4,526,183;4,409,309;5,038,859;5,555,002;4,920,487;5,056,314;4,222,312;4,829,041
110;1103;851,401;766,174;851,184;915,755;1,075,812;1,020,461;1,065,705;1,045,302;891,829;954,442;768,616;798,073
110;1103;1,712,227;1,381,633;1,254,058;1,108,682;1,137,358;1,170,022;1,690,957;1,672,505;1,545,163;1,712,507;1,483,844;1,521,167
110;1103;1,073,418;853,626;780,323;615,091;616,995;695,742;841,475;964,464;841,586;844,048;807,816;940,438
110;1103;291,818;219,669;180,257;119,706;133,689;170,444;250,332;277,125;242,398;244,735;185,105;151,592
110;1104;165,32;132,599;134,731;124,398;216,92;154,754;155,782;163,635;148,115;152,506;148,714;145,022
110;1104;256,755;198,476;181,507;179,625;327,729;231,274;218,957;207,496;166,436;175,446;180,656;178,891
110;1104;115,474;92,367;88,358;75,574;93,127;83,478;86,542;85,318;83,978;86,489;97,096;92,946
111;1110;2,668,725;2,425,399;2,439,093;2,264,663;2,725,601;2,638,634;2,922,966;2,592,149;2,500,924;2,887,667;2,201,136;2,281,561
111;1110;1,601,591;1,154,450;1,198,705;970,431;1,205,943;1,253,170;1,336,292;1,164,643;1,106,686;1,076,998;1,041,163;1,008,082
111;1111;17,713,384;15,935,346;19,932,004;14,885,669;15,151,134;14,327,658;14,522,515;13,643,904;13,867,141;22,608,435;14,301,660;15,361,209
111;1111;5,692,160;4,747,250;4,596,414;4,520,505;5,755,707;3,900,799;6,361,755;5,751,261;4,226,666;5,101,504;3,765,046;3,817,727
111;1111;35,102,387;39,524,875;32,797,947;30,988,921;30,032,990;37,166,158;30,232,438;28,982,892;28,573,789;40,024,228;26,122,053;46,227,260
111;1111;4,729,396;5,949,982;4,779,118;4,926,452;4,940,840;4,373,959;5,754,851;6,766,709;6,986,671;6,761,834;7,720,070;6,836,048
111;1111;2,897,671;2,483,039;2,778,367;2,724,004;4,028,987;2,709,444;2,867,759;3,166,443;2,928,868;2,810,588;2,429,552;3,233,429
111;1112;15,854,154;15,941,149;19,599,227;14,505,503;15,661,981;15,524,505;15,414,206;17,521,829;14,648,053;22,709,354;16,677,200;22,121,598
111;1112;1,678,351;1,561,312;1,604,774;1,472,203;1,769,452;1,655,782;1,693,836;1,601,400;1,459,359;1,579,409;1,650,631;1,431,011
111;1112;827,112;761,426;738,797;723,672;927,347;832,333;814,067;760,955;722,631;790,221;816,67;716,75
111;1112;8,309,651;7,285,030;8,155,902;6,859,207;9,566,665;8,600,461;10,339,101;8,589,288;8,979,991;10,122,156;8,573,756;8,065,267
120;1200;13,570,259;12,460,957;13,805,733;15,371,684;16,736,760;14,391,001;14,923,357;14,147,142;13,273,482;15,592,323;12,227,699;13,570,447
120;1200;563,334;510,326;520,513;499,643;509,188;488,529;544,477;526,718;495,301;504,119;469,26;535,605
120;1200;946,661;852,382;974,759;1,032,157;1,121,196;1,046,511;1,206,579;1,171,400;1,056,953;1,238,236;1,055,874;1,046,283
120;1200;27,790,731;24,791,134;24,594,909;24,846,668;24,562,284;23,367,513;27,112,803;24,914,658;22,073,625;26,464,137;26,594,154;28,552,086
120;1200;1,704,931;1,572,077;1,698,773;1,942,655;1,919,115;1,779,449;1,875,654;1,919,724;2,022,865;2,080,057;1,785,380;1,733,255
120;1200;17,246,649;15,982,277;20,317,052;15,829,246;18,376,061;15,304,258;15,778,600;15,159,259;17,382,536;20,945,321;23,184,210;27,103,256
120;1200;2,960,833;3,156,973;4,778,686;6,686,242;3,740,800;3,112,071;3,111,626;2,704,620;2,333,548;2,586,886;2,377,012;2,939,661
120;1200;2,350,236;1,954,756;1,933,968;1,912,043;2,044,449;1,770,561;2,023,459;1,975,244;1,826,306;2,810,456;3,853,901;3,022,093
120;1200;1,031,862;881,022;966,293;1,011,959;1,027,284;898,78;969,914;913,281;787,588;870,888;767,255;867,751
120;1200;434,507;381,589;427,262;422,17;469,743;394,586;410,008;421,297;475,139;489,576;363,284;343,469
120;1201;2,328,972;1,867,929;1,885,545;1,751,472;1,914,793;1,720,963;1,770,653;1,782,143;1,688,274;1,932,614;2,312,448;2,223,571
120;1201;2,019,372;1,914,912;1,541,847;1,439,197;1,430,139;1,476,681;1,584,073;1,488,719;1,432,815;1,611,520;1,693,203;1,668,389
120;1201;3,387,140;3,250,068;3,162,760;3,215,324;3,441,316;3,241,768;3,606,345;3,318,447;3,137,644;3,559,271;3,781,815;3,942,601
120;1201;368,659;298,419;320,559;303,417;334,561;298,59;326,802;302,462;296,729;336,439;283,153;322,15
120;1201;394,638;354,253;368,459;331,485;391,264;368,6;423,578;488,22;395,434;443,454;372,774;412,906
120;1201;143,44;103,248;93,726;77,841;60,606;244,576;236,069;248,305;190,856;252,211;203,52;231,075
120;1202;402,518;354,145;383,822;396,706;376,364;375,987;396,438;382,09;354,595;404,494;355,294;406,669
120;1202;373,944;319,052;355,848;456,261;467,552;426,16;442,319;427,662;399,202;467,057;451,106;503,41
120;1202;416,658;369,051;424,168;485,793;488,848;414,106;426,264;409,939;390,793;467,497;403,614;413,222
120;1202;684,739;603,849;696,298;702,074;753,011;644,36;650,784;655,655;641,914;690,291;600,258;620,879
120;1205;462,142;398,444;403,938;415,07;475,812;433,819;442,586;517,772;519,911;513,182;483,656;514,311
120;1205;782,4;745,633;754,644;740,453;860,931;767,154;786,334;771,494;709,341;731,472;670,706;755,722
120;1205;181,558;149,339;147,131;148,239;154,778;157,883;157,473;183,988;194,911;190,613;192,033;194,341
120;1205;164,849;168,001;137,69;140,248;166,94;154,596;156,117;180,583;169,113;161,407;157,936;154,483
